date,week,team,opp,is_away,season_year
2022-01-02,17,NOR,CAR,0,2021
2022-01-02,17,CHI,NYG,0,2021
2022-01-02,17,CIN,KAN,0,2021
2022-01-02,17,LVR,IND,1,2021
2022-01-02,17,ARI,DAL,1,2021
2022-01-02,17,TAM,NYJ,1,2021
2022-01-02,17,PHI,WAS,1,2021
2022-01-02,17,ATL,BUF,1,2021
2022-01-02,17,CAR,NOR,1,2021
2022-01-02,17,NYG,CHI,1,2021
2022-01-02,17,KAN,CIN,1,2021
2022-01-02,17,IND,LVR,0,2021
2022-01-02,17,DAL,ARI,0,2021
2022-01-02,17,MIN,GNB,1,2021
2022-01-02,17,JAX,NWE,1,2021
2022-01-02,17,MIA,TEN,1,2021
2022-01-02,17,NYJ,TAM,0,2021
2022-01-02,17,WAS,PHI,0,2021
2022-01-02,17,DEN,LAC,1,2021
2022-01-02,17,HOU,SFO,1,2021
2022-01-02,17,DET,SEA,1,2021
2022-01-02,17,BAL,LAR,0,2021
2022-01-02,17,LAR,BAL,1,2021
2022-01-02,17,SEA,DET,0,2021
2022-01-02,17,SFO,HOU,0,2021
2022-01-02,17,LAC,DEN,0,2021
2022-01-02,17,TEN,MIA,0,2021
2022-01-02,17,GNB,MIN,0,2021
2022-01-03,17,CLE,PIT,1,2021
2022-01-03,17,PIT,CLE,0,2021
2022-01-08,18,PHI,DAL,0,2021
2022-01-08,18,KAN,DEN,1,2021
2022-01-08,18,DAL,PHI,1,2021
2022-01-08,18,DEN,KAN,0,2021
2022-01-09,18,ARI,SEA,0,2021
2022-01-09,18,BAL,PIT,0,2021
2022-01-09,18,NYG,WAS,0,2021
2022-01-09,18,NWE,MIA,1,2021
2022-01-09,18,IND,JAX,1,2021
2022-01-09,18,CIN,CLE,1,2021
2022-01-09,18,CHI,MIN,1,2021
2022-01-09,18,CAR,TAM,1,2021
2022-01-09,18,NYJ,BUF,1,2021
2022-01-09,18,ATL,NOR,0,2021
2022-01-09,18,HOU,TEN,0,2021
2022-01-09,18,GNB,DET,1,2021
2022-01-09,18,LVR,LAC,0,2021
2022-01-09,18,SFO,LAR,1,2021
2022-01-09,18,SEA,ARI,1,2021
2022-01-09,18,PIT,BAL,1,2021
2022-01-09,18,WAS,NYG,1,2021
2022-01-09,18,MIA,NWE,0,2021
2022-01-09,18,TEN,HOU,1,2021
2022-01-09,18,DET,GNB,0,2021
2022-01-09,18,JAX,IND,0,2021
2022-01-09,18,CLE,CIN,0,2021
2022-01-09,18,MIN,CHI,0,2021
2022-01-09,18,TAM,CAR,0,2021
2022-01-09,18,BUF,NYJ,0,2021
2022-01-09,18,NOR,ATL,1,2021
2022-01-09,18,LAR,SFO,0,2021
2022-01-09,18,LAC,LVR,1,2021
