team,opp,projected_off__pts,date,season_year
JAX,LAR,18,2021-12-05,2021
SFO,SEA,24,2021-12-05,2021
SEA,SFO,22,2021-12-05,2021
BUF,NWE,25,2021-12-06,2021
NWE,BUF,21,2021-12-06,2021
MIN,PIT,17,2021-12-09,2021
PIT,MIN,13,2021-12-09,2021
KAN,LVR,32,2021-12-12,2021
LVR,KAN,21,2021-12-12,2021
NOR,NYJ,26,2021-12-12,2021
NYJ,NOR,19,2021-12-12,2021
SFO,CIN,24,2021-12-12,2021
CIN,SFO,22,2021-12-12,2021
TEN,JAX,28,2021-12-12,2021
JAX,TEN,19,2021-12-12,2021
BAL,CLE,22,2021-12-12,2021
CLE,BAL,22,2021-12-12,2021
CAR,ATL,24,2021-12-12,2021
ATL,CAR,22,2021-12-12,2021
DAL,WAS,27,2021-12-12,2021
WAS,DAL,22,2021-12-12,2021
SEA,HOU,26,2021-12-12,2021
HOU,SEA,19,2021-12-12,2021
DEN,DET,26,2021-12-12,2021
DET,DEN,18,2021-12-12,2021
LAC,NYG,27,2021-12-12,2021
NYG,LAC,20,2021-12-12,2021
TAM,BUF,28,2021-12-12,2021
BUF,TAM,25,2021-12-12,2021
GNB,CHI,29,2021-12-12,2021
CHI,GNB,18,2021-12-12,2021
ARI,LAR,27,2021-12-13,2021
LAR,ARI,25,2021-12-13,2021
KAN,LAC,26,2021-12-16,2021
LAC,KAN,24,2021-12-16,2021
IND,NWE,23,2021-12-18,2021
NWE,IND,21,2021-12-18,2021
BUF,CAR,28,2021-12-19,2021
CAR,BUF,18,2021-12-19,2021
MIA,NYJ,26,2021-12-19,2021
NYJ,MIA,19,2021-12-19,2021
DAL,NYG,28,2021-12-19,2021
NYG,DAL,18,2021-12-19,2021
GNB,BAL,24,2021-12-19,2021
BAL,GNB,22,2021-12-19,2021
PIT,TEN,23,2021-12-19,2021
TEN,PIT,21,2021-12-19,2021
JAX,HOU,24,2021-12-19,2021
HOU,JAX,20,2021-12-19,2021
ARI,DET,30,2021-12-19,2021
DET,ARI,18,2021-12-19,2021
SFO,ATL,26,2021-12-19,2021
ATL,SFO,19,2021-12-19,2021
DEN,CIN,24,2021-12-19,2021
CIN,DEN,21,2021-12-19,2021
TAM,NOR,30,2021-12-19,2021
NOR,TAM,18,2021-12-19,2021
MIN,CHI,24,2021-12-20,2021
CHI,MIN,20,2021-12-20,2021
LVR,CLE,20,2021-12-20,2021
CLE,LVR,20,2021-12-20,2021
LAR,SEA,26,2021-12-21,2021
SEA,LAR,19,2021-12-21,2021
PHI,WAS,26,2021-12-21,2021
WAS,PHI,17,2021-12-21,2021
SFO,TEN,22,2021-12-23,2021
TEN,SFO,21,2021-12-23,2021
GNB,CLE,26,2021-12-25,2021
CLE,GNB,19,2021-12-25,2021
ARI,IND,27,2021-12-25,2021
IND,ARI,22,2021-12-25,2021
TAM,CAR,30,2021-12-26,2021
CAR,TAM,19,2021-12-26,2021
PHI,NYG,26,2021-12-26,2021
NYG,PHI,17,2021-12-26,2021
LAC,HOU,28,2021-12-26,2021
HOU,LAC,18,2021-12-26,2021
ATL,DET,25,2021-12-26,2021
DET,ATL,18,2021-12-26,2021
CIN,BAL,23,2021-12-26,2021
BAL,CIN,21,2021-12-26,2021
LAR,MIN,26,2021-12-26,2021
MIN,LAR,23,2021-12-26,2021
NYJ,JAX,21,2021-12-26,2021
JAX,NYJ,20,2021-12-26,2021
BUF,NWE,22,2021-12-26,2021
NWE,BUF,22,2021-12-26,2021
SEA,CHI,25,2021-12-26,2021
CHI,SEA,18,2021-12-26,2021
KAN,PIT,28,2021-12-26,2021
PIT,KAN,20,2021-12-26,2021
DEN,LVR,21,2021-12-26,2021
LVR,DEN,21,2021-12-26,2021
DAL,WAS,29,2021-12-26,2021
WAS,DAL,20,2021-12-26,2021
MIA,NOR,22,2021-12-28,2021
NOR,MIA,19,2021-12-28,2021
IND,LVR,28,2022-01-02,2021
LVR,IND,20,2022-01-02,2021
CHI,NYG,23,2022-01-02,2021
NYG,CHI,20,2022-01-02,2021
TAM,NYJ,28,2022-01-02,2021
