date,week,team,opp
2022-01-08,18,KAN,DEN
2022-01-08,18,DAL,PHI
2022-01-08,18,DEN,KAN
2022-01-09,18,ARI,SEA
2022-01-09,18,BAL,PIT
2022-01-09,18,NYG,WAS
2022-01-09,18,NWE,MIA
2022-01-09,18,IND,JAX
2022-01-09,18,CIN,CLE
2022-01-09,18,CHI,MIN
2022-01-09,18,CAR,TAM
2022-01-09,18,NYJ,BUF
2022-01-09,18,ATL,NOR
2022-01-09,18,HOU,TEN
2022-01-09,18,GNB,DET
2022-01-09,18,LVR,LAC
2022-01-09,18,SFO,LAR
2022-01-09,18,SEA,ARI
2022-01-09,18,PIT,BAL
2022-01-09,18,WAS,NYG
2022-01-09,18,MIA,NWE
2022-01-09,18,TEN,HOU
2022-01-09,18,DET,GNB
2022-01-09,18,JAX,IND
2022-01-09,18,CLE,CIN
2022-01-09,18,MIN,CHI
2022-01-09,18,TAM,CAR
2022-01-09,18,BUF,NYJ
2022-01-09,18,NOR,ATL
2022-01-09,18,LAR,SFO
2022-01-09,18,LAC,LVR
